Epoch,Loss
1,0.061068
2,0.055478
3,0.055137
4,0.055001
5,0.054863
6,0.054756
7,0.054594
8,0.054609
9,0.054444
10,0.053177
11,0.050885
12,0.049158
13,0.048130
14,0.047390
15,0.046782
16,0.046140
17,0.045581
18,0.045154
19,0.044632
20,0.044222
21,0.043967
22,0.043655
23,0.043436
24,0.043140
25,0.042844
26,0.042607
27,0.042468
28,0.042143
29,0.041884
30,0.041785
31,0.041444
32,0.041383
33,0.041112
34,0.040972
35,0.040833
36,0.040519
37,0.040550
38,0.040200
39,0.040144
40,0.039794
41,0.039588
42,0.039537
43,0.039423
44,0.039252
45,0.039061
46,0.039013
47,0.038813
48,0.038647
49,0.038413
50,0.038335
