Epoch,Loss
1,0.062465
2,0.047038
3,0.040455
4,0.035404
5,0.031313
6,0.028766
7,0.026873
8,0.025505
9,0.024672
10,0.023770
11,0.023003
12,0.022494
13,0.022192
14,0.021990
15,0.021469
16,0.021299
17,0.021161
18,0.021019
19,0.020693
20,0.020411
21,0.020239
22,0.020117
23,0.020043
24,0.019904
25,0.019608
26,0.019440
27,0.019303
28,0.019447
29,0.019330
30,0.019149
31,0.019056
32,0.019103
33,0.018919
34,0.018925
35,0.018471
36,0.018514
37,0.018569
38,0.018512
39,0.018464
40,0.018571
41,0.018469
42,0.018248
43,0.018236
44,0.018075
45,0.018047
46,0.018047
47,0.017827
48,0.017855
49,0.017863
50,0.017959
