Epoch,Loss
1,0.060551
2,0.044322
3,0.038317
4,0.033562
5,0.030013
6,0.028045
7,0.026512
8,0.025452
9,0.024584
10,0.023948
11,0.023331
12,0.022953
13,0.022546
14,0.022367
15,0.022006
16,0.021679
17,0.021408
18,0.021175
19,0.020826
20,0.020717
21,0.020719
22,0.020342
23,0.020212
24,0.020044
25,0.020090
26,0.020086
27,0.019878
28,0.019630
29,0.019509
30,0.019325
31,0.019354
32,0.019109
33,0.019510
34,0.019079
35,0.018951
36,0.018898
37,0.018771
38,0.018594
39,0.018708
40,0.018654
41,0.018545
42,0.018464
43,0.018507
44,0.018315
45,0.018217
46,0.018250
47,0.018383
48,0.018185
49,0.017939
50,0.018251
