Epoch,Loss
1,0.061376
2,0.044743
3,0.039152
4,0.033725
5,0.030136
6,0.027830
7,0.026191
8,0.025083
9,0.024412
10,0.023735
11,0.023071
12,0.022647
13,0.022336
14,0.021884
15,0.021742
16,0.021196
17,0.021143
18,0.021131
19,0.020596
20,0.020605
21,0.020358
22,0.020186
23,0.019927
24,0.019816
25,0.019764
26,0.019863
27,0.019604
28,0.019519
29,0.019323
30,0.019475
31,0.019224
32,0.018988
33,0.019174
34,0.018902
35,0.018803
36,0.018780
37,0.018583
38,0.018496
39,0.018413
40,0.018667
41,0.018457
42,0.018354
43,0.018245
44,0.018409
45,0.018254
46,0.018109
47,0.018062
48,0.018002
49,0.018257
50,0.018088
