Epoch,Loss
1,0.058430
2,0.039114
3,0.030765
4,0.025357
5,0.022600
6,0.020902
7,0.019692
8,0.018750
9,0.018259
10,0.017802
11,0.017342
12,0.016949
13,0.016682
14,0.016397
15,0.016158
16,0.015938
17,0.015718
18,0.015663
19,0.015395
20,0.015268
21,0.015109
22,0.015055
23,0.014894
24,0.014789
25,0.014719
26,0.014579
27,0.014353
28,0.014342
29,0.014283
30,0.014183
31,0.014123
32,0.014009
33,0.013937
34,0.013822
35,0.013855
36,0.013777
37,0.013633
38,0.013560
39,0.013558
40,0.013468
41,0.013358
42,0.013381
43,0.013287
44,0.013241
45,0.013257
46,0.013137
47,0.013088
48,0.013020
49,0.013012
50,0.012970
