Epoch,Loss
1,0.040842
2,0.020151
3,0.015291
4,0.013485
5,0.012465
6,0.011651
7,0.011097
8,0.010593
9,0.010132
10,0.009955
11,0.009578
12,0.009316
13,0.009105
14,0.008879
15,0.008666
16,0.008537
17,0.008371
18,0.008209
19,0.008213
20,0.007966
21,0.007868
22,0.007725
23,0.007643
24,0.007530
25,0.007471
26,0.007386
27,0.007278
28,0.007149
29,0.007120
30,0.007059
31,0.007009
32,0.006929
33,0.006893
34,0.006832
35,0.006827
36,0.006719
37,0.006662
38,0.006599
39,0.006555
40,0.006550
41,0.006477
42,0.006516
43,0.006398
44,0.006377
45,0.006307
46,0.006307
47,0.006218
48,0.006232
49,0.006218
50,0.006229
