Directory
/home/jessica/shape_control_DLO_2/ws_dlo/src/dlo_manipulation_pkg/models/rbfWeights/2D/
/home/jessica/shape_control_DLO_2/results/sim/
/home/jessica/shape_control_DLO_2/data/
epoch:  0  , Loss/train:  0.06130095922759474
epoch:  1  , Loss/train:  0.04706437038635013
epoch:  2  , Loss/train:  0.027935256849902907
epoch:  3  , Loss/train:  0.022648767125346005
epoch:  4  , Loss/train:  0.020383554213900746
epoch:  5  , Loss/train:  0.018979182884867576
epoch:  6  , Loss/train:  0.017860864156058857
epoch:  7  , Loss/train:  0.017263035943259054
epoch:  8  , Loss/train:  0.01661503854503573
epoch:  9  , Loss/train:  0.016034510963634133
epoch:  10  , Loss/train:  0.015776271042205504
epoch:  11  , Loss/train:  0.015444862137018426
epoch:  12  , Loss/train:  0.015076924417255276
epoch:  13  , Loss/train:  0.014893531075506004
epoch:  14  , Loss/train:  0.01464502504373442
epoch:  15  , Loss/train:  0.014437832290739583
epoch:  16  , Loss/train:  0.014201756439177688
epoch:  17  , Loss/train:  0.014054347065462073
epoch:  18  , Loss/train:  0.013907787307644132
epoch:  19  , Loss/train:  0.013737649919945739
epoch:  20  , Loss/train:  0.013625864513409035
epoch:  21  , Loss/train:  0.013407408617742693
epoch:  22  , Loss/train:  0.013355718245968096
epoch:  23  , Loss/train:  0.013216344053362574
epoch:  24  , Loss/train:  0.013124164273795574
epoch:  25  , Loss/train:  0.01299342604479127
epoch:  26  , Loss/train:  0.012937311649020674
epoch:  27  , Loss/train:  0.012831553679281302
epoch:  28  , Loss/train:  0.012741529548080015
epoch:  29  , Loss/train:  0.01267940812269603
epoch:  30  , Loss/train:  0.01257293487835461
epoch:  31  , Loss/train:  0.012529925367276647
epoch:  32  , Loss/train:  0.012410488415028908
epoch:  33  , Loss/train:  0.012396966292858441
epoch:  34  , Loss/train:  0.01228861626871089
epoch:  35  , Loss/train:  0.012235307681269006
epoch:  36  , Loss/train:  0.012202147975750664
epoch:  37  , Loss/train:  0.012129084588880382
epoch:  38  , Loss/train:  0.012054699856335166
epoch:  39  , Loss/train:  0.012019046019814385
epoch:  40  , Loss/train:  0.011977440989347917
epoch:  41  , Loss/train:  0.011940468649274663
epoch:  42  , Loss/train:  0.01185115567569349
epoch:  43  , Loss/train:  0.011826902562414787
epoch:  44  , Loss/train:  0.011799772167757058
epoch:  45  , Loss/train:  0.011723053859058283
epoch:  46  , Loss/train:  0.011714632291771741
epoch:  47  , Loss/train:  0.01165281901551065
epoch:  48  , Loss/train:  0.011628654971123059
epoch:  49  , Loss/train:  0.011601134164155579
